Reference, Value, Footprint, Datasheet
"U1","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U2","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U3","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U4","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U5","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U6","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U7","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"U8","CD40109BNSR","CD40109BNSR:CD40109BNSR",""
"C4","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"CHIGH3","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH6","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH1","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH4","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH7","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH8","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH2","C","Capacitor_SMD:C_1206_3216Metric","~"
"CHIGH5","C","Capacitor_SMD:C_1206_3216Metric","~"
"J2","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~"
"J1","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~"
"R1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"J3","Conn_01x02_Female","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~"
"C1","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
