Reference, Value, Footprint, Datasheet
"CN10","Conn_02x19_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x19_P2.54mm_Vertical","~"
"U1","74ALVC164245DLG4","footprints:74ALVC164245DLG4",""
"R1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R2","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"U2","74ALVC164245DLG4","footprints:74ALVC164245DLG4",""
"C2","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C3.31","C","Capacitor_SMD:C_0805_2012Metric","~"
"C5V1","C","Capacitor_SMD:C_0805_2012Metric","~"
"C5V2","C","Capacitor_SMD:C_0805_2012Metric","~"
"C3.32","C","Capacitor_SMD:C_0805_2012Metric","~"
"C1","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"J1","Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~"
"CN7","Conn_02x19_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x19_P2.54mm_Vertical","~"
